quarter,fund_ticker,fund_name,asset_class,region,esg_total_score,environment_score,social_score,governance_score,carbon_intensity_tons_per_m_usd,water_usage_intensity,board_diversity_pct,esg_rating
2020Q1,USEQ,US Core Equity Fund,US Equity,North America,61.2,75.17,41.38,62.38,21.74,76.28,47.1,A
2020Q1,GBAQ,Global Alpha Equity,Global Equity,Global,69.76,89.07,44.78,68.99,7.23,29.68,40.2,A
2020Q1,USFX,US Core Fixed Income,Fixed Income,North America,55.64,41.46,50.94,79.24,45.87,29.84,43.6,BBB
2020Q1,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,71.79,84.52,40.36,86.26,57.36,40.62,26.2,AA
2020Q2,USEQ,US Core Equity Fund,US Equity,North America,70.86,92.65,58.51,54.17,12.25,86.27,44.1,AA
2020Q2,GBAQ,Global Alpha Equity,Global Equity,Global,80.04,84.39,80.14,74.13,77.98,44.07,42.1,AAA
2020Q2,USFX,US Core Fixed Income,Fixed Income,North America,83.09,85.62,74.02,88.78,48.3,73.41,21.8,AAA
2020Q2,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,53.86,52.53,55.92,53.59,22.46,19.09,31.1,BBB
2020Q3,USEQ,US Core Equity Fund,US Equity,North America,68.0,74.96,60.07,66.66,20.71,34.03,57.5,A
2020Q3,GBAQ,Global Alpha Equity,Global Equity,Global,69.62,75.64,73.5,57.7,59.68,24.71,35.2,A
2020Q3,USFX,US Core Fixed Income,Fixed Income,North America,82.85,94.42,75.2,75.06,56.35,85.86,51.0,AAA
2020Q3,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,52.83,52.6,41.77,64.2,25.08,28.99,57.7,BBB
2020Q4,USEQ,US Core Equity Fund,US Equity,North America,76.32,88.2,57.31,79.49,34.67,92.31,38.4,AA
2020Q4,GBAQ,Global Alpha Equity,Global Equity,Global,60.47,54.57,53.56,75.26,24.71,62.61,55.9,A
2020Q4,USFX,US Core Fixed Income,Fixed Income,North America,68.87,61.97,52.06,94.89,43.21,18.18,21.9,A
2020Q4,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,66.46,46.03,74.51,85.64,36.66,15.72,35.3,A
2021Q1,USEQ,US Core Equity Fund,US Equity,North America,86.76,94.79,69.1,93.7,69.56,11.03,48.8,AAA
2021Q1,GBAQ,Global Alpha Equity,Global Equity,Global,70.46,77.49,69.53,62.01,53.07,20.04,37.4,AA
2021Q1,USFX,US Core Fixed Income,Fixed Income,North America,80.54,64.95,92.46,89.41,24.75,55.05,27.1,AAA
2021Q1,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,81.47,90.19,87.88,63.43,52.92,64.81,26.1,AAA
2021Q2,USEQ,US Core Equity Fund,US Equity,North America,79.19,81.94,69.67,85.04,44.78,10.05,33.0,AA
2021Q2,GBAQ,Global Alpha Equity,Global Equity,Global,70.62,41.07,91.1,89.54,67.37,37.68,22.3,AA
2021Q2,USFX,US Core Fixed Income,Fixed Income,North America,79.09,88.29,92.08,53.85,41.45,16.23,50.4,AA
2021Q2,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,68.38,82.12,47.06,71.39,46.24,33.86,54.9,A
2021Q3,USEQ,US Core Equity Fund,US Equity,North America,63.08,63.27,51.65,74.27,59.74,28.1,32.5,A
2021Q3,GBAQ,Global Alpha Equity,Global Equity,Global,81.53,94.73,75.74,69.71,43.82,20.89,29.0,AAA
2021Q3,USFX,US Core Fixed Income,Fixed Income,North America,63.25,58.59,72.36,60.36,21.52,16.39,45.2,A
2021Q3,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,74.58,52.59,89.8,88.68,10.31,31.42,46.8,AA
2021Q4,USEQ,US Core Equity Fund,US Equity,North America,62.53,51.78,47.28,92.1,47.83,52.54,51.4,A
2021Q4,GBAQ,Global Alpha Equity,Global Equity,Global,65.21,84.41,50.47,54.36,37.33,48.12,38.7,A
2021Q4,USFX,US Core Fixed Income,Fixed Income,North America,83.44,80.1,77.04,94.29,12.38,46.24,33.6,AAA
2021Q4,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,68.63,87.39,53.68,58.56,38.65,47.97,31.1,A
2022Q1,USEQ,US Core Equity Fund,US Equity,North America,69.71,53.74,90.78,69.94,69.6,59.53,22.0,A
2022Q1,GBAQ,Global Alpha Equity,Global Equity,Global,91.86,94.96,85.98,93.6,74.48,86.38,26.7,AAA
2022Q1,USFX,US Core Fixed Income,Fixed Income,North America,62.63,66.71,51.76,68.05,9.4,44.11,59.4,A
2022Q1,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,67.92,54.59,83.12,70.48,36.73,96.16,59.8,A
2022Q2,USEQ,US Core Equity Fund,US Equity,North America,69.17,70.57,79.51,56.97,27.25,97.18,43.2,A
2022Q2,GBAQ,Global Alpha Equity,Global Equity,Global,68.04,69.82,81.14,52.57,48.81,55.26,54.1,A
2022Q2,USFX,US Core Fixed Income,Fixed Income,North America,63.4,48.66,92.84,53.61,18.94,63.55,47.0,A
2022Q2,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,62.17,52.94,46.59,90.06,23.47,63.51,44.8,A
2022Q3,USEQ,US Core Equity Fund,US Equity,North America,68.91,63.06,72.1,73.53,75.1,28.38,48.6,A
2022Q3,GBAQ,Global Alpha Equity,Global Equity,Global,63.85,53.13,61.77,80.23,27.5,38.46,50.1,A
2022Q3,USFX,US Core Fixed Income,Fixed Income,North America,65.64,43.99,65.21,94.93,79.71,16.59,28.5,A
2022Q3,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,76.13,54.59,91.33,89.64,70.95,43.26,26.3,AA
2022Q4,USEQ,US Core Equity Fund,US Equity,North America,81.21,85.86,78.69,77.53,79.04,68.86,20.3,AAA
2022Q4,GBAQ,Global Alpha Equity,Global Equity,Global,74.87,84.94,56.47,79.85,75.42,22.09,24.6,AA
2022Q4,USFX,US Core Fixed Income,Fixed Income,North America,58.16,45.89,70.43,62.26,50.36,74.59,28.1,BBB
2022Q4,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,67.9,74.88,54.52,71.98,72.9,86.15,23.7,A
2023Q1,USEQ,US Core Equity Fund,US Equity,North America,56.93,63.3,55.22,50.16,62.83,67.34,30.5,BBB
2023Q1,GBAQ,Global Alpha Equity,Global Equity,Global,74.19,80.77,70.34,69.25,5.73,16.77,55.3,AA
2023Q1,USFX,US Core Fixed Income,Fixed Income,North America,83.16,89.72,70.01,87.56,48.69,23.33,25.1,AAA
2023Q1,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,75.36,56.95,89.44,85.83,69.55,90.9,28.4,AA
2023Q2,USEQ,US Core Equity Fund,US Equity,North America,60.72,53.72,45.65,85.11,71.31,46.57,44.8,A
2023Q2,GBAQ,Global Alpha Equity,Global Equity,Global,73.42,48.5,91.14,88.91,78.22,82.97,55.3,AA
2023Q2,USFX,US Core Fixed Income,Fixed Income,North America,60.18,41.36,80.51,64.95,74.81,82.2,54.6,A
2023Q2,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,75.87,84.59,54.67,85.43,13.11,88.5,54.3,AA
2023Q3,USEQ,US Core Equity Fund,US Equity,North America,67.58,52.23,84.91,70.71,27.89,81.58,29.1,A
2023Q3,GBAQ,Global Alpha Equity,Global Equity,Global,51.14,41.3,50.62,64.77,69.83,97.02,31.2,BBB
2023Q3,USFX,US Core Fixed Income,Fixed Income,North America,76.95,75.28,61.98,94.15,45.22,94.53,24.6,AA
2023Q3,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,80.29,93.37,49.82,93.31,24.91,19.76,37.4,AAA
2023Q4,USEQ,US Core Equity Fund,US Equity,North America,72.39,80.07,57.25,77.28,43.36,44.67,43.1,AA
2023Q4,GBAQ,Global Alpha Equity,Global Equity,Global,60.32,54.01,78.98,50.08,74.42,58.46,48.8,A
2023Q4,USFX,US Core Fixed Income,Fixed Income,North America,75.31,80.81,76.88,66.39,10.25,69.78,33.2,AA
2023Q4,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,73.62,57.27,86.64,82.39,27.52,37.84,36.3,AA
2024Q1,USEQ,US Core Equity Fund,US Equity,North America,58.45,62.13,56.26,55.73,36.53,94.63,47.1,BBB
2024Q1,GBAQ,Global Alpha Equity,Global Equity,Global,77.08,89.65,73.85,63.54,46.1,10.04,31.5,AA
2024Q1,USFX,US Core Fixed Income,Fixed Income,North America,70.86,63.64,71.9,79.46,39.87,49.79,28.5,AA
2024Q1,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,79.03,66.03,89.56,85.82,17.73,17.63,40.6,AA
2024Q2,USEQ,US Core Equity Fund,US Equity,North America,73.5,74.81,58.44,86.83,61.34,70.55,29.0,AA
2024Q2,GBAQ,Global Alpha Equity,Global Equity,Global,51.09,50.95,41.34,61.02,40.64,86.48,22.9,BBB
2024Q2,USFX,US Core Fixed Income,Fixed Income,North America,65.13,62.79,74.64,58.75,57.23,54.49,29.8,A
2024Q2,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,67.66,76.08,40.3,83.79,62.75,19.59,37.0,A
2024Q3,USEQ,US Core Equity Fund,US Equity,North America,69.67,49.67,92.69,73.31,8.77,32.43,53.9,A
2024Q3,GBAQ,Global Alpha Equity,Global Equity,Global,75.28,65.11,84.08,80.04,79.09,63.59,58.0,AA
2024Q3,USFX,US Core Fixed Income,Fixed Income,North America,82.43,89.03,73.7,82.37,42.86,84.75,41.9,AAA
2024Q3,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,81.42,89.35,80.9,71.36,24.44,32.25,45.5,AAA
2024Q4,USEQ,US Core Equity Fund,US Equity,North America,76.91,82.12,68.67,78.2,25.59,16.97,31.4,AA
2024Q4,GBAQ,Global Alpha Equity,Global Equity,Global,61.54,54.94,57.58,74.31,15.38,30.81,47.8,A
2024Q4,USFX,US Core Fixed Income,Fixed Income,North America,65.1,78.85,43.53,68.34,45.7,47.42,28.3,A
2024Q4,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,75.06,63.11,89.77,76.28,57.16,87.11,50.6,AA
2025Q1,USEQ,US Core Equity Fund,US Equity,North America,56.21,60.92,40.32,65.83,61.51,86.81,58.1,BBB
2025Q1,GBAQ,Global Alpha Equity,Global Equity,Global,71.93,63.05,81.11,74.58,50.24,29.85,28.8,AA
2025Q1,USFX,US Core Fixed Income,Fixed Income,North America,57.61,63.97,41.6,65.13,55.94,46.39,26.6,BBB
2025Q1,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,63.79,65.71,47.02,78.0,7.02,45.46,42.6,A
2025Q2,USEQ,US Core Equity Fund,US Equity,North America,56.03,41.49,75.35,56.11,39.63,14.53,35.2,BBB
2025Q2,GBAQ,Global Alpha Equity,Global Equity,Global,63.33,51.64,57.98,84.26,33.43,77.68,53.3,A
2025Q2,USFX,US Core Fixed Income,Fixed Income,North America,50.16,53.87,44.5,50.87,45.46,99.99,34.0,BBB
2025Q2,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,78.99,75.76,82.97,79.33,61.57,95.47,28.0,AA
2025Q3,USEQ,US Core Equity Fund,US Equity,North America,47.67,41.12,48.38,55.68,55.21,60.76,28.7,BBB
2025Q3,GBAQ,Global Alpha Equity,Global Equity,Global,73.31,78.47,82.18,57.55,50.54,77.31,24.6,AA
2025Q3,USFX,US Core Fixed Income,Fixed Income,North America,78.4,85.06,93.06,54.86,6.93,38.08,47.1,AA
2025Q3,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,80.28,92.7,61.82,82.18,10.7,72.16,45.1,AAA
2025Q4,USEQ,US Core Equity Fund,US Equity,North America,69.47,45.6,82.49,88.26,50.03,20.89,59.4,A
2025Q4,GBAQ,Global Alpha Equity,Global Equity,Global,71.73,83.04,59.1,69.28,32.79,55.54,33.6,AA
2025Q4,USFX,US Core Fixed Income,Fixed Income,North America,76.69,86.73,85.23,54.75,77.06,67.2,53.1,AA
2025Q4,EMEQ,Emerging Markets Opportunities,Emerging Markets Equity,APAC/EMEA,75.65,78.9,63.95,83.02,77.41,34.31,52.3,AA
